counter	timestamp	deadtime	ch1_height	ch2_height	Delta_T
140	1719999643.7256825	0.0021991276038124258	373	2029	-20
141	1719999643.8307295	0.004025735710563875	2254	565	-19
142	1719999643.9432447	0.003820222814548629	782	1850	-20
143	1719999644.0537703	0.0020703665283540802	200	2825	-18
144	1719999644.1592643	0.0026069139695799794	400	2658	-24
145	1719999644.2646687	0.0022333752704035916	3380	1838	-19
146	1719999644.3699074	0.0022134620177167584	420	2072	-19
147	1719999644.475476	0.0024069779781836576	847	414	-20
148	1719999644.5814242	0.0022327356864086717	605	3049	-23
149	1719999644.6949732	0.010180496093554783	562	1259	-19
150	1719999644.8015265	0.0021922199896146116	542	2422	-26
151	1719999644.9067874	0.00214512069984846	685	1484	-20
152	1719999645.012288	0.0021355980465492578	2340	560	-20
153	1719999645.117464	0.0022303821569427443	1285	1707	-21
154	1719999645.2237282	0.0024718385364562536	2261	2095	-18
155	1719999645.3308606	0.002232629784127182	517	1549	-24
156	1719999645.4363515	0.003964180235955589	1950	3289	-19
157	1719999645.545219	0.003417754798001928	546	2722	-18
158	1719999645.6545875	0.0037656165216424886	577	343	-17
159	1719999645.7641187	0.0036832572881474	1034	451	-19
160	1719999645.8800485	0.003807581445647392	2856	3675	-20
161	1719999645.992632	0.0029274600415483106	389	901	-19
162	1719999646.098191	0.0024816139078864697	969	1182	-18
163	1719999646.2036047	0.003945499262618483	2119	535	-18
164	1719999646.3090212	0.0023649551700547747	794	255	-21
165	1719999646.4143293	0.0021625611970851845	2845	3118	-19
166	1719999646.5214334	0.004516788061822704	2040	2729	-19
167	1719999646.6276703	0.0023998344631523073	365	1970	-28
168	1719999646.7334516	0.002191257064662373	2095	1028	-20
169	1719999646.8384886	0.00410287314396531	593	3055	-18
170	1719999646.9462988	0.0026352970356230154	3036	708	-20
171	1719999647.0515523	0.002166655712514703	918	3701	-18
172	1719999647.1566904	0.0021407400520217974	322	382	-18
173	1719999647.264601	0.0023501866454619753	2255	3286	-19
174	1719999647.3725343	0.002196039617084923	699	443	-20
175	1719999647.4777086	0.0023957334638860747	3290	2544	-22
176	1719999647.5829082	0.0021897512388188945	501	2938	-18
177	1719999647.6881714	0.0021540789330627332	1837	2475	-20
178	1719999647.7933755	0.002241126137558464	3016	937	-17
179	1719999647.8993042	0.0031884944369991275	2897	258	-24
180	1719999648.0132926	0.032098319249245715	2018	899	-18
181	1719999648.122048	0.0045823132204370716	658	1573	-20
182	1719999648.2273684	0.017185732869027238	595	3127	-18
183	1719999648.334003	0.00414366205479421	532	510	-20
184	1719999648.4393246	0.0173842150523224	366	3301	-21
185	1719999648.5461106	0.004088984632930469	780	1367	-21
186	1719999648.6522157	0.004644081042358151	514	1791	-51
